 Nom Ville 	MAJ   	 Latitude 	 Longitude 
 Saint-Rémy 	SAINT REMY  	46.183333	5.166667
 Saint-Sorlin-en-Bugey 	SAINT SORLIN EN BUGEY	45.883333	5.366667
 Saint-Trivier-de-Courtes 	SAINT TRIVIER DE COURTES	46.466667	5.083333
 Saint-Trivier-sur-Moignans 	SAINT TRIVIER SUR MOIGNANS	46.066667	4.9
 Saint-Vulbas 	SAINT VULBAS  	45.833333	5.283333
 Salavre 	SALAVRE   	46.366667	5.35
 Samognat 	SAMOGNAT   	46.25	5.583333
 Sandrans 	SANDRANS   	46.066667	4.983333
 Sault-Brénaz 	SAULT BRENAZ  	45.85	5.416667
 Sauverny 	SAUVERNY   	46.316667	6.116667
Savigneux	   	46	4.85
 Ségny 	SEGNY   	46.3	6.083333
 Seillonnaz 	SEILLONNAZ   	45.8	5.483333
 Sergy 	SERGY   	46.25	6
 Sermoyer 	SERMOYER   	46.5	4.983333
 Serrières-sur-Ain 	SERRIERES SUR AIN 	46.15	5.45
 Servas 	SERVAS   	46.133333	5.166667
 Servignat 	SERVIGNAT   	46.433333	5.066667
 Simandre-sur-Suran 	SIMANDRE SUR SURAN 	46.216667	5.416667
 Songieu 	SONGIEU   	45.966667	5.7
 Sonthonnax-la-Montagne 	SONTHONNAX LA MONTAGNE 	46.233333	5.533333
 Souclin 	SOUCLIN   	45.866667	5.416667
 Sulignat 	SULIGNAT   	46.166667	4.966667
 Surjoux 	SURJOUX   	46.016667	5.8
 Sutrieu 	SUTRIEU   	45.95	5.65
 Talissieu 	TALISSIEU   	45.866667	5.716667
 Tenay 	TENAY   	45.916667	5.5
 Thézillieu 	THEZILLIEU   	45.883333	5.6
 Thil 	THIL   	45.816667	5.016667
 Thoissey 	THOISSEY   	46.166667	4.8
 Torcieu 	TORCIEU   	45.916667	5.4
 Tossiat 	TOSSIAT   	46.133333	5.316667
 Toussieux 	TOUSSIEUX   	45.966667	4.833333
 Tramoyes 	TRAMOYES   	45.866667	4.966667
